trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-140.00510585576265,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-157.03078348891665,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-133.41377249308297,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-75.86945671474041,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-119.3793282063422,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-160.59979672121528,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-112.3156315588702,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-136.0451205777693,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-60.096325515257355,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-149.21885117060492,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-147.60915486788892,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,9,-109.98092182460998,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-28.35648959296885,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-160.50619304183286,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-95.37581795467858,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,31.034144353086813,"{0: 33, 1: 2, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-42.0640109260705,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-27.32245334924096,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,29.340743842399778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-21.69065983102693,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",30,0,-19.27453671010296,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,1,19.59980498030434,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,18,4.37425068590056,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,-115.08274119402121,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,0,-17.896570807837705,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,14,-30.676611554681006,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,4.669500803005456,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",25,0,-114.47505610530519,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",30,17,1.141113072781673,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,0,-8.423334740175251,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
