trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.6065306597126334}",20,0,-66.96897679949201,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.36787944117144233}",30,0,-65.86240907986975,"{0: 19, 1: 8, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.22313016014842982}",25,0,-24.615608002738437,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.1353352832366127}",20,0,-27.803819002763184,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.0820849986238988}",25,0,-38.79859111296241,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.049787068367863944}",20,0,-30.623286693294606,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.0301973834223185}",20,0,-44.54185713728657,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.01831563888873418}",20,0,-38.39409232142195,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.011108996538242306}",25,0,-42.99502830546861,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.006737946999085467}",20,0,-44.184328354880186,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.004086771438464067}",25,0,-40.488636649129994,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.0024787521766663585}",20,0,-47.53259871241315,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.0015034391929775724}",20,0,-41.26157545977097,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.0009118819655545162}",30,0,-59.196706998643165,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.0005530843701478336}",25,0,-49.697378566570194,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.00033546262790251185}",25,0,-36.06636305627072,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.00020346836901064417}",25,0,-44.64470880609755,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.00012340980408667956}",20,0,-26.746755588455425,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 7.48518298877006e-05}",20,0,-22.263980243422257,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 4.5399929762484854e-05}",20,0,-19.664641960957557,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.7, 'e': 2.7536449349747158e-05}",20,0,-57.06337954299798,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
