trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.49346196040649,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.09089175431437,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.86243993584476,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.2233639193629,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.85765466866002,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.77468179507613,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.77735302004996,"{0: 13, 1: 7, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-66.0563070919615,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.022345490060754,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.787413231615616,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.43137669576791,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.69483857770894,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.3059802632302,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.4362185271807,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.8613856287383,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,13,-49.03108719048473,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.60500039354264,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.76959987570498,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-236.6052379700398,"{0: 15, 1: 5, 2: 5, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.71458192565572,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.61276576227007,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.08898660145724,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.8420930975019,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.31057937755418,"{0: 14, 1: 0, 2: 7, 3: 3, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.8146149048245,"{0: 8, 1: 8, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-195.65203818634217,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.3124398335909,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.08924834783858,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-316.3269384135953,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 6}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,7,-8.764760444644065,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
